NO,Human_Score,FineTune_1st_Score,FineTune_2nd_Score,GPT35turbo
1,3,3,3,3
2,3,3,3,4
3,4,4,4,2
4,2,4,4,3
5,6,6,6,6
6,5,5,5,5
7,4,3,4,5
8,4,6,5,4
9,4,4,4,4
10,3,5,5,3
11,2,3,3,1
12,3,4,4,3
13,4,4,5,2
14,3,4,3,5
15,6,6,6,3
16,7,6,6,6
17,4,4,4,3
18,3,4,4,3
19,5,5,5,6
20,4,5,5,5
21,4,4,4,3
22,3,4,4,5
23,3,5,5,6
24,6,4,4,3
25,3,3,3,3
26,6,6,6,5
27,7,6,6,4
28,4,4,4,2
29,5,4,5,6
30,4,4,4,3
31,5,4,4,2
32,7,6,6,5
33,5,4,4,3
34,3,4,4,4
35,5,4,4,3
36,3,3,3,3
37,4,5,6,3
38,6,4,4,4
39,4,5,5,3
40,5,5,5,6
41,5,4,4,6
42,6,5,5,3
43,4,4,4,3
44,5,6,6,3
45,6,4,4,4
46,5,5,5,5
47,5,5,5,6
48,5,4,4,2
49,3,4,4,3
50,4,4,4,3
51,4,4,4,2
52,6,5,5,5
53,3,4,4,5
54,2,4,3,3
55,4,4,4,4
56,4,4,4,4
57,5,5,5,5
58,4,4,4,2
59,4,4,4,4
60,4,4,4,3
61,5,4,4,3
62,4,4,5,4
63,5,5,5,4
64,5,4,4,3
65,4,4,4,3
66,5,4,4,4
67,7,5,5,3
68,6,5,5,6
69,4,4,4,4
70,5,5,5,4
71,2,3,3,4
72,4,3,3,2
73,4,3,4,3
74,4,4,5,5
75,4,3,3,3
76,5,4,4,3
77,3,4,4,3
78,3,3,3,3
79,5,5,5,4
80,5,4,5,3
81,4,4,4,4
82,4,4,4,2
83,4,4,4,4
84,5,5,5,3
85,4,4,4,5
86,5,5,5,3
87,3,4,4,5
88,1,3,3,2
89,4,4,4,3
90,3,4,4,3
91,3,3,4,2
92,6,5,7,4
93,4,3,3,3
94,4,4,3,3
95,2,2,2,3
96,4,4,4,4
97,6,5,5,3
98,4,4,4,2
99,4,4,4,3
100,8,6,6,3
101,4,4,4,4
102,4,4,4,3
103,6,5,5,4
104,4,5,5,4
105,5,4,4,3
106,5,4,4,3
107,3,4,4,3
108,6,6,6,3
109,4,4,4,4
110,5,5,5,3
111,4,4,4,3
112,2,4,4,2
113,3,4,4,3
114,3,4,4,5
115,4,4,4,4
116,3,4,4,4
117,4,4,4,1
118,3,3,3,4
119,5,4,4,4
120,2,3,3,3
121,4,4,4,4
122,3,3,3,3
123,3,4,4,2
124,4,4,5,4
125,4,4,4,3
126,4,4,4,4
127,8,6,6,4
128,3,4,4,3
129,5,5,4,3
130,6,5,5,3
131,5,4,4,4
132,6,6,6,6
133,4,4,4,2
134,4,5,5,4
135,3,4,4,6
136,6,5,5,4
137,4,4,4,3
138,3,4,4,2
139,2,2,2,3
140,5,4,4,2
141,3,4,4,2
142,5,4,4,3
143,4,5,5,2
144,4,4,4,3
145,3,4,4,3
146,4,4,4,2
147,5,4,4,4
148,5,5,5,3
149,3,4,4,2
150,3,4,4,2
151,2,3,3,3
152,6,4,4,4
153,5,4,4,4
154,4,3,3,2
155,5,5,5,5
156,3,4,4,4
157,5,6,6,4
158,4,4,4,4
159,3,3,3,3
160,4,4,4,2
161,3,4,4,3
162,5,4,4,4
163,4,5,5,3
164,3,4,4,4
165,4,6,6,3
166,6,6,6,3
167,4,4,4,5
168,3,4,4,3
169,4,4,5,4
170,3,4,4,2
171,6,5,7,4
172,3,4,4,2
173,5,5,5,3
174,8,6,6,6
175,4,5,5,3
176,6,5,5,2
177,5,6,6,4
178,6,6,6,3
179,3,3,3,3
180,6,5,5,3
181,7,6,6,3
